"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","Churn","Young","RevenuePerUser"
"0071-NDAFP","Male",0,"Yes","Yes",25,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","No",0,23.2
"0074-HDKDG","Male",0,"Yes","Yes",25,"Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)","No",0,67.5
"0076-LVEPS","Male",0,"No","Yes",29,"No","Fiber optic","Yes","Yes","Yes","Yes","No","No","Month-to-month","Yes","Mailed check","No",0,57.5
"0078-XZMHT","Male",0,"Yes","No",72,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No",0,87
"0080-EMYVY","Female",0,"No","No",14,"Yes","Fiber optic","No","Yes","No","No","No","No","One year","No","Credit card (automatic)","No",0,63.7
"0080-OROZO","Female",0,"No","No",35,"Yes","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check","No",0,81.5
"0082-LDZUE","Male",0,"No","No",1,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check","No",0,55
"0082-OQIQY","Male",0,"No","No",29,"Yes","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,78
"0083-PIVIK","Male",0,"No","No",64,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","One year","No","Electronic check","No",0,83.7
"0089-IIQKO","Female",0,"Yes","Yes",39,"Yes","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No",0,78
"0093-EXYQL","Female",1,"No","No",40,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,73
"0093-XWZFY","Male",0,"No","No",40,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","Yes",0,82
"0094-OIFMO","Female",1,"No","No",11,"Yes","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,78.5
"0096-BXERS","Female",0,"Yes","No",6,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check","No",0,58.2
"0096-FCPUF","Male",0,"No","No",30,"Yes","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Mailed check","No",0,71.5
"0098-BOWSO","Male",0,"No","No",27,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check","No",0,20
"0100-DUVFC","Male",1,"No","No",70,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check","No",0,82
"0103-CSITQ","Female",0,"Yes","No",57,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)","No",0,87
"0104-PPXDV","Male",0,"Yes","No",58,"Yes","Fiber optic","No","No","Yes","No","No","No","One year","No","Credit card (automatic)","No",0,61.7
"0106-GHRQR","Male",0,"No","No",16,"Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No",0,77
"0106-UGRDO","Female",0,"Yes","No",69,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check","No",0,90.5
"0107-WESLM","Male",0,"No","No",1,"No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes",1,40
"0107-YHINA","Male",0,"No","Yes",1,"Yes","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,76.5
"0111-KLBQG","Male",1,"No","No",32,"Yes","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Mailed check","No",0,78.5
"0112-QAWRZ","Male",0,"Yes","Yes",16,"Yes","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","No",0,66.5
"0112-QWPNC","Male",0,"Yes","No",49,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","One year","No","Electronic check","Yes",0,88.2
"0114-IGABW","Female",0,"Yes","No",71,"No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No",0,82.2
"0114-PEGZZ","Female",0,"No","No",33,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Electronic check","No",0,85.2
"0114-RSRRW","Female",0,"Yes","No",10,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)","No",0,20
"0115-TFERT","Male",0,"Yes","No",21,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,87
"0117-LFRMW","Male",0,"Yes","Yes",37,"No","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)","Yes",0,55.7
"0118-JPNOY","Female",1,"No","No",26,"Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)","No",0,66.5
"0121-SNYRK","Male",0,"No","No",50,"No","Fiber optic","Yes","No","No","Yes","No","No","One year","Yes","Mailed check","No",0,48.5
"0122-OAHPZ","Female",0,"No","No",7,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes",0,55
"0123-CRBRT","Female",0,"Yes","Yes",61,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check","No",0,93.7
"0125-LZQXK","Male",0,"No","No",15,"Yes","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,81.5
"0128-MKWSG","Female",0,"No","Yes",26,"No","Fiber optic","Yes","No","No","Yes","No","Yes","Month-to-month","No","Mailed check","No",0,66.7
"0129-KPTWJ","Male",0,"Yes","No",72,"Yes","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,76.5
"0129-QMPDR","Male",0,"Yes","Yes",44,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)","No",0,20
"0130-SXOUN","Male",0,"No","No",66,"Yes","DSL","No","Yes","No","No","No","Yes","Month-to-month","No","Credit card (automatic)","No",0,76.7
"0133-BMFZO","Female",0,"No","No",2,"Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check","Yes",0,69
"0134-XWXCE","Female",1,"No","No",44,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)","No",0,84.7
"0135-NMXAP","Female",0,"No","No",12,"Yes","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,68.5
"0136-IFMYD","Male",1,"No","No",69,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check","No",0,87
"0137-OCGAB","Female",0,"No","No",1,"Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check","Yes",0,60.5
"0137-UDEUO","Female",0,"No","No",3,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","Yes",1,23.2
"0139-IVFJG","Female",0,"Yes","No",2,"Yes","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check","No",0,75.2
"0141-YEAYS","Female",1,"No","No",27,"Yes","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No",0,64
"0142-GVYSN","Male",0,"No","No",26,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check","No",1,20
"0147-ESWWR","Female",1,"No","No",39,"Yes","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,78
"0148-DCDOS","Male",0,"No","No",25,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,73
"0151-ONTOV","Female",0,"No","No",1,"Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check","Yes",0,58.2
"0156-FVPTA","Male",0,"Yes","No",22,"Yes","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","Yes","Electronic check","Yes",0,63.5
"0164-APGRB","Female",0,"No","No",72,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check","No",0,90.5
"0164-XAIRP","Female",0,"No","No",24,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)","No",1,20
"0168-XZKBB","Female",0,"Yes","No",19,"Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check","No",0,63
"0174-QRVVY","Male",0,"Yes","Yes",71,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","No",0,23.2
"0177-PXBAT","Male",1,"No","No",33,"Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","No",0,85
"0178-CIIKR","Female",0,"No","No",3,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",1,23.2
"0178-SZBHO","Male",0,"Yes","Yes",47,"Yes","DSL","No","Yes","No","No","Yes","No","Month-to-month","No","Electronic check","No",0,71.7
"0181-RITDD","Male",0,"Yes","Yes",62,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check","No",0,93.7
"0186-CAERR","Male",0,"No","No",71,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)","No",0,90.5
"0187-QSXOE","Male",1,"No","No",7,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,73
"0187-WZNAB","Female",0,"Yes","Yes",27,"Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check","No",0,61.7
"0188-GWFLE","Male",0,"No","No",2,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",0,23.2
"0191-EQUUH","Female",0,"No","Yes",25,"No","Fiber optic","Yes","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)","No",0,51.7
"0191-ZHSKZ","Male",1,"No","No",30,"Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,82
"0193-ESZXP","Female",1,"No","No",58,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)","Yes",0,87
"0195-IESCP","Male",0,"Yes","No",10,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,68
"0196-JTUQI","Female",0,"No","No",9,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","No",0,55
"0196-VULGZ","Female",1,"No","No",6,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,68
"0197-PNKNK","Female",0,"Yes","Yes",69,"Yes","DSL","Yes","No","Yes","No","No","No","One year","No","Bank transfer (automatic)","No",0,65.2
"0201-MIBOL","Female",1,"No","No",66,"Yes","DSL","Yes","No","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No",0,76.5
"0201-OAMXR","Female",0,"No","No",70,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)","Yes",0,93.7
"0203-HHYIJ","Male",0,"No","No",25,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)","Yes",1,23.2
"0206-OYVOC","Female",0,"Yes","Yes",46,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check","No",0,20
"0206-TBWLC","Female",0,"Yes","No",54,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Mailed check","No",0,90.5
"0207-MDKNV","Female",0,"No","No",15,"Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","No","Electronic check","Yes",0,88.2
"0208-BPQEJ","Female",0,"Yes","Yes",12,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)","No",0,23.2
"0212-ISBBF","Female",0,"No","No",22,"No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","No",0,70.5
"0214-JHPFW","Female",0,"Yes","No",70,"No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No",0,82.2
"0215-BQKGS","Male",0,"No","No",30,"Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)","No",0,67.5
"0218-QNVAS","Male",0,"Yes","Yes",71,"Yes","DSL","No","Yes","No","No","Yes","Yes","One year","No","Bank transfer (automatic)","No",0,81.7
"0219-QAERP","Male",0,"Yes","No",30,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)","No",0,23.2
"0219-YTZUE","Male",0,"Yes","Yes",4,"Yes","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,64
"0220-EBGCE","Male",0,"No","No",2,"Yes","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,71.5
"0221-NAUXK","Male",0,"No","Yes",10,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)","No",0,20
"0221-WMXNQ","Male",1,"No","No",4,"Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check","No",0,61.7
"0222-CNVPT","Male",1,"No","No",52,"No","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No",0,68.5
"0224-HJAPT","Male",0,"No","No",5,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check","Yes",0,58.2
"0224-NIJLP","Male",0,"Yes","Yes",8,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check","No",0,23.2
"0224-RLWWD","Female",1,"No","No",2,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","No",0,55
"0225-ZORZP","Male",0,"No","No",3,"Yes","DSL","No","Yes","No","No","No","Yes","Month-to-month","No","Electronic check","No",0,76.7
"0228-MAUWC","Male",0,"No","No",19,"Yes","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","No","Electronic check","No",0,66.7
"0229-LFJAF","Male",0,"No","No",72,"Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","No","Bank transfer (automatic)","No",0,75.7
"0230-UBYPQ","Male",1,"No","No",63,"No","Fiber optic","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)","No",0,51.7
"0230-WEQUW","Male",0,"Yes","No",66,"No","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)","No",0,67.5
"0231-LXVAP","Male",0,"No","No",1,"Yes","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check","Yes",0,60
"0233-FTHAV","Female",0,"No","No",60,"Yes","DSL","No","No","Yes","No","No","No","One year","Yes","Bank transfer (automatic)","No",0,58.5
"0234-TEVTT","Female",0,"Yes","Yes",48,"No","Fiber optic","Yes","No","Yes","No","No","Yes","One year","No","Credit card (automatic)","No",0,65.2
"0235-KGSLC","Female",0,"No","No",1,"Yes","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)","Yes",0,66.5
"0236-HFWSV","Male",0,"No","No",15,"Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,73
"0237-YFUTL","Female",0,"Yes","No",50,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","No",0,87
"0238-WHBIQ","Male",0,"Yes","Yes",72,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)","No",0,93.7
"0239-OXEXL","Female",0,"No","No",46,"Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check","No",0,67.2
"0244-LGNFY","Female",0,"Yes","Yes",72,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No",0,93.7
"0247-SLUJI","Male",0,"Yes","Yes",1,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",0,23.2
"0248-IPDFW","Female",0,"No","No",1,"Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","No",0,55
"0248-PGHBZ","Female",1,"No","No",67,"Yes","DSL","Yes","Yes","No","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)","No",0,77
"0253-ZTEOB","Female",0,"Yes","Yes",48,"Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","No","Electronic check","No",0,86.7
"0254-FNMCI","Female",0,"No","No",72,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check","No",0,90.5
"0254-KCJGT","Male",0,"Yes","No",52,"Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)","No",0,85.5
"0254-WWRKD","Female",0,"Yes","Yes",67,"Yes","Fiber optic","No","Yes","No","No","No","No","One year","No","Credit card (automatic)","No",0,63.7
"0256-LTHVJ","Female",0,"Yes","Yes",28,"Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","Yes",0,68
"0257-KXZGU","Female",0,"Yes","Yes",32,"Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)","No",0,67.2
"0257-ZESQC","Female",1,"No","No",27,"Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,58.5
"0258-NOKBL","Male",0,"No","No",3,"Yes","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","No","Electronic check","No",0,80.2
"0259-GBZSH","Male",0,"No","No",2,"Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check","Yes",0,63
"0260-ZDLGK","Female",0,"No","Yes",9,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Mailed check","Yes",0,81.5
"0263-FJTQO","Male",0,"Yes","Yes",50,"Yes","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)","No",0,71.5
"0264-CNITK","Female",0,"Yes","Yes",71,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","No",0,23.2
"0265-EDXBD","Male",1,"No","No",32,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes",0,55
"0265-PSUAE","Female",0,"Yes","Yes",16,"Yes","DSL","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)","No",0,83.2
"0266-CLZKZ","Female",0,"Yes","Yes",67,"Yes","DSL","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No",0,81.5
"0266-GMEAO","Male",0,"Yes","Yes",72,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No",0,90.5
"0268-QKIWO","Female",0,"No","No",3,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check","Yes",1,23.2
"0269-XFESX","Male",0,"Yes","Yes",23,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check","No",0,23.2
"0270-THENM","Male",0,"Yes","Yes",72,"Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","No","Bank transfer (automatic)","No",0,75.7
"0274-JKUJR","Male",0,"Yes","Yes",7,"No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","No","Mailed check","No",0,80.7
"0277-BKSQP","Male",0,"Yes","Yes",8,"Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check","No",0,63
"0277-ORXQS","Male",0,"Yes","Yes",66,"No","Fiber optic","No","No","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No",0,73.2
"0278-YXOOG","Male",0,"No","No",5,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","Yes",1,23.2
"0280-XJGEX","Male",0,"No","No",49,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes",0,82
"0281-CNTZX","Male",0,"Yes","No",63,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)","No",0,20
